Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
a                    | 36.85      | 230.11     | XELMPT+Cambria
Common               | 56.74      | 235.04     | XELMPT+Cambria
datum                | 97.41      | 235.04     | XELMPT+Cambria
A-B.                 | 127.26     | 235.04     | XELMPT+Cambria
Figure               | 130.70     | 242.51     | XELMPT+Cambria-Bold
185                  | 166.64     | 242.51     | XELMPT+Cambria-Bold
—                    | 188.30     | 242.51     | XELMPT+Cambria-Bold
Definition           | 201.72     | 242.51     | XELMPT+Cambria-Bold
of                   | 256.08     | 242.51     | XELMPT+Cambria-Bold
the                  | 268.28     | 242.51     | XELMPT+Cambria-Bold
total                | 287.42     | 242.51     | XELMPT+Cambria-Bold
run-out              | 314.07     | 242.51     | XELMPT+Cambria-Bold
tolerance            | 355.82     | 242.51     | XELMPT+Cambria-Bold
zone                 | 406.62     | 242.51     | XELMPT+Cambria-Bold
17.17.3              | 36.85      | 278.71     | XELMPT+Cambria-Bold
Total                | 75.12      | 278.71     | XELMPT+Cambria-Bold
run-out              | 103.15     | 278.71     | XELMPT+Cambria-Bold
specification        | 144.40     | 278.71     | XELMPT+Cambria-Bold
–                    | 211.35     | 278.71     | XELMPT+Cambria-Bold
Axial                | 219.27     | 278.71     | XELMPT+Cambria-Bold
In                   | 36.85      | 324.53     | XELMPT+Cambria
Figure               | 49.98      | 324.53     | XELMPT+Cambria
186,                 | 84.44      | 324.53     | XELMPT+Cambria
the                  | 108.20     | 324.53     | XELMPT+Cambria
extracted            | 126.96     | 324.53     | XELMPT+Cambria
surface              | 176.23     | 324.53     | XELMPT+Cambria
shall                | 214.69     | 324.53     | XELMPT+Cambria
be                   | 240.66     | 324.53     | XELMPT+Cambria
contained            | 255.46     | 324.53     | XELMPT+Cambria
between              | 306.07     | 324.53     | XELMPT+Cambria
two                  | 350.51     | 324.53     | XELMPT+Cambria
parallel             | 372.34     | 324.53     | XELMPT+Cambria
planes               | 412.16     | 324.53     | XELMPT+Cambria
0,1                  | 446.43     | 324.53     | XELMPT+Cambria
apart,               | 463.96     | 324.53     | XELMPT+Cambria
which                | 495.61     | 324.53     | XELMPT+Cambria
are                  | 36.85      | 336.63     | XELMPT+Cambria
perpendicular        | 54.90      | 336.63     | XELMPT+Cambria
to                   | 125.01     | 336.63     | XELMPT+Cambria
datum                | 137.16     | 336.63     | XELMPT+Cambria
axis                 | 170.64     | 336.63     | XELMPT+Cambria
D.                   | 192.36     | 336.63     | XELMPT+Cambria
NOTE                 | 36.85      | 356.23     | MDDDRP+Cambria
A                    | 85.04      | 356.23     | MDDDRP+Cambria
perpendicularity     | 93.47      | 356.23     | MDDDRP+Cambria
specification        | 169.80     | 356.23     | MDDDRP+Cambria
would                | 227.88     | 356.23     | MDDDRP+Cambria
have                 | 257.04     | 356.23     | MDDDRP+Cambria
the                  | 279.67     | 356.23     | MDDDRP+Cambria
same                 | 295.97     | 356.23     | MDDDRP+Cambria
meaning.             | 320.89     | 356.23     | MDDDRP+Cambria
a)                   | 146.66     | 489.16     | HBOUZZ+Cambria-Bold
2D                   | 157.92     | 489.16     | HBOUZZ+Cambria-Bold
b)                   | 390.23     | 489.16     | HBOUZZ+Cambria-Bold
3D                   | 401.99     | 489.16     | HBOUZZ+Cambria-Bold
Figure               | 183.62     | 518.27     | XELMPT+Cambria-Bold
186                  | 219.56     | 518.27     | XELMPT+Cambria-Bold
—                    | 241.34     | 518.27     | XELMPT+Cambria-Bold
Total                | 254.76     | 518.27     | XELMPT+Cambria-Bold
run-out              | 283.85     | 518.27     | XELMPT+Cambria-Bold
indication           | 325.59     | 518.27     | XELMPT+Cambria-Bold
The                  | 36.85      | 572.60     | MDDDRP+Cambria
tolerance            | 57.08      | 572.60     | MDDDRP+Cambria
zone                 | 103.60     | 572.60     | MDDDRP+Cambria
defined              | 127.92     | 572.60     | MDDDRP+Cambria
by                   | 165.95     | 572.60     | MDDDRP+Cambria
the                  | 179.55     | 572.60     | MDDDRP+Cambria
specification        | 197.04     | 572.60     | MDDDRP+Cambria
in                   | 260.01     | 572.60     | MDDDRP+Cambria
Figure               | 271.40     | 572.60     | XELMPT+Cambria
186                  | 304.58     | 572.60     | XELMPT+Cambria
is                   | 324.68     | 572.60     | MDDDRP+Cambria
limited              | 334.68     | 572.60     | MDDDRP+Cambria
by                   | 370.90     | 572.60     | MDDDRP+Cambria
two                  | 384.50     | 572.60     | MDDDRP+Cambria
parallel             | 405.04     | 572.60     | MDDDRP+Cambria
planes               | 443.58     | 572.60     | MDDDRP+Cambria
a                    | 476.56     | 572.60     | MDDDRP+Cambria
distance             | 484.00     | 572.60     | MDDDRP+Cambria
0,1                  | 36.85      | 584.70     | XELMPT+Cambria
apart                | 53.45      | 584.70     | XELMPT+Cambria
and                  | 81.60      | 584.70     | XELMPT+Cambria
perpendicular        | 101.77     | 584.70     | XELMPT+Cambria
to                   | 171.89     | 584.70     | XELMPT+Cambria
the                  | 184.03     | 584.70     | XELMPT+Cambria
datum,               | 201.86     | 584.70     | XELMPT+Cambria
see                  | 237.69     | 584.70     | XELMPT+Cambria
Figure               | 255.72     | 584.70     | XELMPT+Cambria
187.                 | 289.59     | 584.70     | XELMPT+Cambria
